date,location,total
2020-09-21,Zachodniopomorskie,336
2020-09-21,Wielkopolskie,646
2020-09-21,Śląskie,943
2020-09-21,Małopolskie,634
2020-09-21,Kujawsko-Pomorskie,393
2020-09-28,Mazowieckie,685467
2020-09-28,Podlaskie,230
2020-09-28,Lubelskie,430
2020-09-28,Świętokrzyskie,286
2020-09-28,Łódzkie,584
2020-09-28,Pomorskie,456
2020-09-28,Warmińsko-Mazurskie,260
2020-09-28,Podkarpackie,365
2020-09-28,Opolskie,207
2020-09-28,Dolnośląskie,645
2020-09-28,Lubuskie,179
2020-09-28,Zachodniopomorskie,327
2020-09-28,Wielkopolskie,636
2020-09-28,Śląskie,946
2020-09-28,Małopolskie,604
2020-09-28,Kujawsko-Pomorskie,393
2020-10-05,Mazowieckie,639528
2020-10-05,Podlaskie,260
2020-10-05,Podkarpackie,390
2020-10-05,Lubelskie,426
2020-10-05,Świętokrzyskie,272
2020-10-05,Łódzkie,646
2020-10-05,Pomorskie,436
2020-10-05,Warmińsko-Mazurskie,280
2020-10-05,Dolnośląskie,645
2020-10-05,Opolskie,191
2020-10-05,Lubuskie,241
2020-10-05,Zachodniopomorskie,361
2020-10-05,Wielkopolskie,705
2020-10-05,Śląskie,1076
2020-10-05,Małopolskie,667
2020-10-05,Kujawsko-Pomorskie,460
2020-10-12,Świętokrzyskie,282
2020-10-12,Łódzkie,561
2020-10-12,Mazowieckie,627583
2020-10-12,Pomorskie,516
2020-10-12,Podkarpackie,406
2020-10-12,Podlaskie,264
2020-10-12,Lubelskie,491
2020-10-12,Warmińsko-Mazurskie,300
2020-10-12,Zachodniopomorskie,366
2020-10-12,Opolskie,218
2020-10-12,Dolnośląskie,609
2020-10-12,Lubuskie,207
2020-10-12,Wielkopolskie,679
2020-10-12,Śląskie,1006
2020-10-12,Małopolskie,672
2020-10-12,Kujawsko-Pomorskie,424
2020-10-19,Podlaskie,268
2020-10-19,Podkarpackie,403
2020-10-19,Lubelskie,510
2020-10-19,Świętokrzyskie,304
2020-10-19,Łódzkie,645
2020-10-19,Pomorskie,453
2020-10-19,Warmińsko-Mazurskie,295
2020-10-19,Mazowieckie,621518
2020-10-19,Opolskie,228
2020-10-19,Dolnośląskie,629
2020-10-19,Lubuskie,220
2020-10-19,Zachodniopomorskie,346
2020-10-19,Wielkopolskie,720
2020-10-19,Śląskie,1106
2020-10-19,Małopolskie,684
2020-10-19,Kujawsko-Pomorskie,458
2020-10-26,Mazowieckie,657556
2020-10-26,Podlaskie,281
2020-10-26,Podkarpackie,493
2020-10-26,Lubelskie,520
2020-10-26,Świętokrzyskie,359
2020-10-26,Łódzkie,679
2020-10-26,Pomorskie,504
2020-10-26,Warmińsko-Mazurskie,330
2020-10-26,Kujawsko-Pomorskie,495
2020-10-26,Dolnośląskie,675
2020-10-26,Lubuskie,235
2020-10-26,Zachodniopomorskie,377
2020-10-26,Wielkopolskie,768
2020-10-26,Śląskie,1206
2020-10-26,Małopolskie,809
2020-10-26,Opolskie,236
2020-11-02,Łódzkie,799
2020-11-02,Mazowieckie,764627
2020-11-02,Podlaskie,318
2020-11-02,Podkarpackie,600
2020-11-02,Lubelskie,564
2020-11-02,Świętokrzyskie,393
2020-11-02,Pomorskie,531
2020-11-02,Warmińsko-Mazurskie,345
2020-11-02,Opolskie,253
2020-11-02,Dolnośląskie,790
2020-11-02,Lubuskie,270
2020-11-02,Zachodniopomorskie,413
