date,year,total,age,short,location,typ,country
2019-01-07,2019,37.0,Y20-39,BE,Belgia,C,Belgium
2019-01-07,2019,39.0,Y20-39,BG,Bułgaria,C,Bulgaria
2019-01-07,2019,14.0,Y20-39,CH,Szwajcaria,C,Switzerland
2019-01-07,2019,3.0,Y20-39,CY,Cypr,C,Cyprus
2019-01-07,2019,29.0,Y20-39,CZ,Czechy,C,Czech Republic
2019-01-07,2019,179.0,Y20-39,GE,Niemcy,C,Germany
2019-01-07,2019,17.0,Y20-39,DK,Dania,C,Denmark
2019-01-07,2019,4.0,Y20-39,EE,Estonia,C,Estonia
2019-01-07,2019,23.0,Y20-39,EL,Grecja,C,Greece
2019-01-07,2019,100.0,Y20-39,ES,Hiszpania,C,Spain
2019-01-07,2019,24.0,Y20-39,FI,Finlandia,C,Finland
2019-01-07,2019,176.0,Y20-39,FR,Francja,C,France
2019-01-07,2019,17.0,Y20-39,HR,Chorwacja,C,Croatia
2019-01-07,2019,38.0,Y20-39,HU,Węgry,C,Hungary
2019-01-07,2019,194.0,Y40-59,CZ,Czechy,C,Czech Republic
2019-01-07,2019,1418.0,Y40-59,GE,Niemcy,C,Germany
2019-01-07,2019,87.0,Y40-59,DK,Dania,C,Denmark
2019-01-07,2019,37.0,Y40-59,EE,Estonia,C,Estonia
2019-01-07,2019,0.0,Y_LT20,LI,Liechenstein,C,Liechenstein
2019-01-07,2019,5.0,Y_LT20,LT,Litwa,C,Lithuania
2019-01-07,2019,2.0,Y_LT20,LU,Luksemburg,C,Luxembourg
2019-01-07,2019,2.0,Y_LT20,LV,Łotwa,C,Latvia
2019-01-07,2019,1.0,Y_LT20,ME,Montegegro,C,Montegegro
2019-01-07,2019,1.0,Y_LT20,MT,Malta,C,Malta
2019-01-07,2019,24.0,Y_LT20,NL,Holandia,C,Netherlands
2019-01-07,2019,4.0,Y_LT20,NO,Norwegia,C,Norway
2019-01-07,2019,65.0,Y_LT20,PL,Polska,C,Poland
2019-01-07,2019,11.0,Y_LT20,PT,Portugalia,C,Portugal
2019-01-07,2019,44.0,Y_LT20,RO,Rumunia,C,Romania
2019-01-07,2019,7.0,Y_LT20,RS,Serbia,C,Serbia
2019-01-07,2019,12.0,Y_LT20,SE,Szwecja,C,Sweden
2019-01-07,2019,2.0,Y_LT20,SI,Słowenia,C,Slovenia
2019-01-07,2019,1001.0,Y60-79,NL,Holandia,C,Netherlands
2019-01-07,2019,289.0,Y60-79,NO,Norwegia,C,Norway
2019-01-07,2019,189.0,Y40-59,EL,Grecja,C,Greece
2019-01-07,2019,707.0,Y40-59,ES,Hiszpania,C,Spain
2019-01-07,2019,99.0,Y40-59,FI,Finlandia,C,Finland
2019-01-07,2019,1062.0,Y40-59,FR,Francja,C,France
2019-01-07,2019,96.0,Y40-59,HR,Chorwacja,C,Croatia
2019-01-07,2019,360.0,Y40-59,HU,Węgry,C,Hungary
2019-01-07,2019,2.0,Y40-59,IS,Islandia,C,Iceland
2019-01-07,2019,791.0,Y40-59,IT,Włochy,C,Italy
2019-01-07,2019,0.0,Y40-59,LI,Liechenstein,C,Liechenstein
2019-01-07,2019,102.0,Y40-59,LT,Litwa,C,Lithuania
2019-01-07,2019,8.0,Y40-59,LU,Luksemburg,C,Luxembourg
2019-01-14,2019,0.0,UNK,PL21,małopolskie,W,
2019-01-14,2019,1389.0,TOTAL,CH,Szwajcaria,C,Switzerland
2019-01-14,2019,2694.0,TOTAL,BG,Bułgaria,C,Bulgaria
2019-01-14,2019,2347.0,TOTAL,BE,Belgia,C,Belgium
2019-01-14,2019,259.0,TOTAL,PL84,podlaskie,W,
2019-01-14,2019,439.0,TOTAL,PL82,podkarpackie,W,
2019-01-14,2019,474.0,TOTAL,PL81,lubelskie,W,
