location,geo_type,transportation_type,country,date,mobility
Dolnośląskie,sub-region,walking,Polska,2020-05-28,71.67
Dolnośląskie,sub-region,driving,Polska,2020-05-29,109.28
Dolnośląskie,sub-region,walking,Polska,2020-05-29,93.83
Dolnośląskie,sub-region,driving,Polska,2020-05-30,97.08
Dolnośląskie,sub-region,walking,Polska,2020-05-30,92.8
Dolnośląskie,sub-region,driving,Polska,2020-05-31,94.16
Dolnośląskie,sub-region,walking,Polska,2020-05-31,71.15
Dolnośląskie,sub-region,driving,Polska,2020-06-01,114.57
Dolnośląskie,sub-region,walking,Polska,2020-06-01,91.42
Dolnośląskie,sub-region,driving,Polska,2020-06-02,96.53
Dolnośląskie,sub-region,walking,Polska,2020-06-02,74.73
Dolnośląskie,sub-region,driving,Polska,2020-06-03,100.76
Dolnośląskie,sub-region,walking,Polska,2020-06-03,88.49
Dolnośląskie,sub-region,driving,Polska,2020-06-04,103.84
Dolnośląskie,sub-region,walking,Polska,2020-06-04,82.59
Dolnośląskie,sub-region,driving,Polska,2020-06-05,114.16
Dolnośląskie,sub-region,walking,Polska,2020-06-05,91.31
Dolnośląskie,sub-region,driving,Polska,2020-06-06,100.14
Dolnośląskie,sub-region,walking,Polska,2020-06-06,98.71
Dolnośląskie,sub-region,driving,Polska,2020-06-07,97.27
Dolnośląskie,sub-region,walking,Polska,2020-06-07,74.3
Dolnośląskie,sub-region,driving,Polska,2020-06-08,103.85
Dolnośląskie,sub-region,walking,Polska,2020-06-08,91.58
Dolnośląskie,sub-region,driving,Polska,2020-06-09,109.68
Dolnośląskie,sub-region,walking,Polska,2020-06-09,95.71
Dolnośląskie,sub-region,driving,Polska,2020-06-10,128.43
Dolnośląskie,sub-region,walking,Polska,2020-06-10,102.38
Dolnośląskie,sub-region,driving,Polska,2020-06-11,130.25
Dolnośląskie,sub-region,walking,Polska,2020-06-11,135.75
Dolnośląskie,sub-region,driving,Polska,2020-06-12,130.78
Dolnośląskie,sub-region,walking,Polska,2020-06-12,156.35
Dolnośląskie,sub-region,driving,Polska,2020-06-13,121.3
Dolnośląskie,sub-region,walking,Polska,2020-06-13,130.44
Dolnośląskie,sub-region,driving,Polska,2020-06-14,153.56
Dolnośląskie,sub-region,walking,Polska,2020-06-14,101.68
Dolnośląskie,sub-region,driving,Polska,2020-06-15,113.4
Dolnośląskie,sub-region,walking,Polska,2020-06-15,103.36
Dolnośląskie,sub-region,driving,Polska,2020-06-16,110.3
Dolnośląskie,sub-region,walking,Polska,2020-06-16,103.29
Dolnośląskie,sub-region,driving,Polska,2020-06-17,117.77
Dolnośląskie,sub-region,walking,Polska,2020-06-17,111.78
Dolnośląskie,sub-region,driving,Polska,2020-06-18,116.09
Dolnośląskie,sub-region,walking,Polska,2020-06-18,94.14
Dolnośląskie,sub-region,driving,Polska,2020-06-19,136.56
Dolnośląskie,sub-region,walking,Polska,2020-06-19,105.74
Dolnośląskie,sub-region,driving,Polska,2020-06-20,112.18
Dolnośląskie,sub-region,walking,Polska,2020-06-20,98.71
Dolnośląskie,sub-region,driving,Polska,2020-06-21,112.32
Dolnośląskie,sub-region,walking,Polska,2020-06-21,83.86
Dolnośląskie,sub-region,driving,Polska,2020-06-22,121.27
Dolnośląskie,sub-region,walking,Polska,2020-06-22,114.82
Dolnośląskie,sub-region,driving,Polska,2020-06-23,119.26
Dolnośląskie,sub-region,walking,Polska,2020-06-23,112.15
Dolnośląskie,sub-region,driving,Polska,2020-06-24,118.65
Dolnośląskie,sub-region,walking,Polska,2020-06-24,84.29
Dolnośląskie,sub-region,driving,Polska,2020-06-25,127.09
Dolnośląskie,sub-region,walking,Polska,2020-06-25,119.21
Dolnośląskie,sub-region,driving,Polska,2020-06-26,150.19
Dolnośląskie,sub-region,walking,Polska,2020-06-26,135.57
Dolnośląskie,sub-region,driving,Polska,2020-06-27,140.43
Dolnośląskie,sub-region,walking,Polska,2020-06-27,148.15
Dolnośląskie,sub-region,driving,Polska,2020-06-28,147.05
Dolnośląskie,sub-region,walking,Polska,2020-06-28,122.68
Dolnośląskie,sub-region,driving,Polska,2020-06-29,126.55
Dolnośląskie,sub-region,walking,Polska,2020-06-29,115.64
Dolnośląskie,sub-region,driving,Polska,2020-06-30,137.05
Dolnośląskie,sub-region,walking,Polska,2020-06-30,141.75
Dolnośląskie,sub-region,driving,Polska,2020-07-01,136.04
Dolnośląskie,sub-region,walking,Polska,2020-07-01,142.66
Dolnośląskie,sub-region,driving,Polska,2020-07-02,143.0
Dolnośląskie,sub-region,walking,Polska,2020-07-02,135.01
Dolnośląskie,sub-region,driving,Polska,2020-07-03,164.48
Dolnośląskie,sub-region,walking,Polska,2020-07-03,163.27
Dolnośląskie,sub-region,driving,Polska,2020-07-04,154.98
Dolnośląskie,sub-region,walking,Polska,2020-07-04,180.45
Dolnośląskie,sub-region,driving,Polska,2020-07-05,165.12
Dolnośląskie,sub-region,walking,Polska,2020-07-05,136.59
Dolnośląskie,sub-region,driving,Polska,2020-07-06,138.77
Dolnośląskie,sub-region,walking,Polska,2020-07-06,148.54
Dolnośląskie,sub-region,driving,Polska,2020-07-07,137.33
Dolnośląskie,sub-region,walking,Polska,2020-07-07,148.74
