JPT,powiat,70+ lat,12-19 lat,20-39 lat,40-59 lat,60-69 lat,population,total_full,percent full,total_1d,nazwa,wojew,typ_p
JPT_1407012,kozienicki,468,41,364,676,505,5019,1511,"30,1",2054,Garbatka-Letnisko,mazowieckie,<20k
JPT_0609042,lubelski,590,108,679,1066,673,9048,2443,27,3116,Garbów,lubelskie,<20k
JPT_2207022,kwidzyński,467,111,510,898,597,8387,1664,"19,8",2583,Gardeja,pomorskie,<20k
JPT_1403011,garwoliński,1660,340,1954,2669,1678,17548,6324,36,8301,Garwolin,mazowieckie,<20k
JPT_2412022,rybnicki,820,239,939,1504,802,9856,3470,"35,2",4304,Gaszowice,śląskie,<20k
JPT_0216022,polkowicki,264,41,249,478,322,3959,1092,"27,6",1354,Gaworzyce,dolnośląskie,<20k
JPT_1811042,mielecki,210,22,162,288,162,2722,729,"26,8",844,Gawłuszowice,podkarpackie,<20k
JPT_1814032,przeworski,321,44,262,469,300,4576,1197,"26,2",1396,Gać,podkarpackie,<20k
JPT_2261000,Gdańsk,56594,13004,80808,80907,44603,470805,237113,"50,4",275917,Gdańsk,pomorskie,>100k
JPT_2262000,Gdynia,31999,6053,34169,40942,24648,244969,116194,"47,4",137811,Gdynia,pomorskie,>100k
JPT_1219022,wielicki,1135,348,1826,2700,1400,18388,5404,"29,4",7409,Gdów,małopolskie,<20k
JPT_2009022,sejneński,248,24,158,272,208,2685,751,28,910,Giby,podlaskie,<20k
JPT_1012032,radomszczański,505,57,420,771,553,5964,1849,31,2306,Gidle,łódzkie,<20k
JPT_1423022,przysuski,415,39,357,581,395,4456,1436,"32,2",1787,Gielniów,mazowieckie,<20k
JPT_2405032,gliwicki,1142,340,1487,2275,1041,12252,5194,"42,4",6285,Gierałtowice,śląskie,<20k
JPT_2814052,olsztyński,438,134,593,1169,611,6743,2354,"34,9",2945,Gietrzwałd,warmińsko-mazurskie,<20k
JPT_2417032,żywiecki,442,85,590,883,475,6327,1754,"27,7",2475,Gilowice,śląskie,<20k
