bin,date,type,count
5,2021-01-04,H,58
6,2021-01-04,H,40
3,2021-01-04,H,32
4,2021-01-04,H,31
1,2021-01-04,H,10
2,2021-01-04,H,10
7,2021-01-05,H,259
5,2021-01-05,H,48
6,2021-01-05,H,37
4,2021-01-05,H,34
3,2021-01-05,H,25
2,2021-01-05,H,19
1,2021-01-05,H,15
7,2021-01-06,H,193
5,2021-01-06,H,41
4,2021-01-06,H,28
6,2021-01-06,H,25
3,2021-01-06,H,17
1,2021-01-06,H,10
2,2021-01-06,H,7
7,2021-01-07,H,247
5,2021-01-07,H,54
4,2021-01-07,H,29
6,2021-01-07,H,27
3,2021-01-07,H,18
1,2021-01-07,H,8
2,2021-01-07,H,8
7,2021-01-08,H,252
5,2021-01-08,H,43
6,2021-01-08,H,41
4,2021-01-08,H,36
3,2021-01-08,H,23
2,2021-01-08,H,18
1,2021-01-08,H,9
7,2021-01-09,H,198
6,2021-01-09,H,45
5,2021-01-09,H,44
4,2021-01-09,H,25
3,2021-01-09,H,14
2,2021-01-09,H,9
1,2021-01-09,H,7
7,2021-01-10,H,174
6,2021-01-10,H,26
5,2021-01-10,H,25
4,2021-01-10,H,23
3,2021-01-10,H,11
1,2021-01-10,H,7
2,2021-01-10,H,6
7,2021-01-11,H,239
5,2021-01-11,H,42
6,2021-01-11,H,31
4,2021-01-11,H,29
3,2021-01-11,H,18
1,2021-01-11,H,8
2,2021-01-11,H,8
7,2021-01-12,H,215
5,2021-01-12,H,36
4,2021-01-12,H,31
6,2021-01-12,H,27
3,2021-01-12,H,23
2,2021-01-12,H,10
1,2021-01-12,H,6
7,2021-01-13,H,210
5,2021-01-13,H,42
6,2021-01-13,H,35
4,2021-01-13,H,32
3,2021-01-13,H,24
1,2021-01-13,H,6
2,2021-01-13,H,5
7,2021-01-14,H,197
5,2021-01-14,H,47
4,2021-01-14,H,32
6,2021-01-14,H,25
3,2021-01-14,H,15
1,2021-01-14,H,8
2,2021-01-14,H,8
7,2021-01-15,H,161
5,2021-01-15,H,31
6,2021-01-15,H,29
4,2021-01-15,H,21
2,2021-01-15,H,15
3,2021-01-15,H,5
1,2021-01-15,H,4
7,2021-01-16,H,150
5,2021-01-16,H,28
6,2021-01-16,H,23
4,2021-01-16,H,20
3,2021-01-16,H,10
2,2021-01-16,H,6
1,2021-01-16,H,2
7,2021-01-17,H,119
6,2021-01-17,H,20
5,2021-01-17,H,19
4,2021-01-17,H,9
3,2021-01-17,H,8
2,2021-01-17,H,6
1,2021-01-17,H,3
7,2021-01-18,H,37
1,2021-01-18,H,5
5,2021-01-18,H,5
6,2021-01-18,H,4
3,2021-01-18,H,2
4,2021-01-18,H,2
2,2021-01-18,H,1
7,2020-03-06,I,1
7,2020-03-07,I,1
7,2020-03-18,I,2
3,2020-03-19,I,1
4,2020-03-19,I,1
7,2020-03-19,I,1
7,2020-03-20,I,1
3,2020-03-21,I,2
5,2020-03-21,I,1
7,2020-03-22,I,2
7,2020-03-23,I,2
7,2020-03-24,I,2
4,2020-03-24,I,1
7,2020-03-25,I,2
6,2020-03-26,I,1
7,2020-03-27,I,4
6,2020-03-27,I,2
4,2020-03-27,I,1
7,2020-03-28,I,5
6,2020-03-28,I,1
7,2020-03-29,I,4
5,2020-03-30,I,1
7,2020-03-31,I,2
7,2020-04-01,I,2
6,2020-04-01,I,1
7,2020-04-02,I,5
7,2020-04-03,I,2
5,2020-04-03,I,1
7,2020-04-04,I,3
7,2020-04-05,I,2
7,2020-04-06,I,1
7,2020-04-07,I,2
7,2020-04-08,I,1
7,2020-04-09,I,2
7,2020-04-10,I,2
6,2020-04-10,I,1
4,2020-04-11,I,1
7,2020-04-11,I,1
7,2020-04-12,I,1
7,2020-04-13,I,2
4,2020-04-13,I,1
5,2020-04-13,I,1
5,2020-04-14,I,1
7,2020-04-14,I,1
7,2020-04-16,I,2
7,2020-04-17,I,4
5,2020-04-17,I,1
6,2020-04-17,I,1
7,2020-04-18,I,1
7,2020-04-19,I,2
