Type,Day cases,Report Date,School Name,Address 1,County,Local Authority,Eircode,Region,Roll Number,Lat,Long
Primary,1,26.04.2021,Presentation Primary School,Limerick City,Limerick,Limerick City Council,V94P028,Munster,20018H,-8.6301239,52.661252
Secondary,2,26.04.2021,St Mary's Diocesan School,Drogheda,Louth,Louth County Council,A92TF24,Leinster,63841E,-6.3524183,53.7149877
Secondary,1,26.04.2021,Coláiste Na Mí,Navan,Meath,Meath County Council,C15T028,Leinster,76173K,-6.6833615,53.651908
Secondary,1,26.04.2021,St Louis Secondary School,Monaghan,Monaghan,Monaghan County Council,H18A079,Ulster,64820B,-7.2378664,54.1749317
Primary,16,26.04.2021,Scoil Bhríde Primary School,Edenderry,Offaly,Offaly County Council,R45X951,Leinster,20267F,-7.0488576,53.3433656
Primary,1,26.04.2021,St Patrick's NS,Edenderry,Offaly,Offaly County Council,R45XV22,Leinster,18364O,-7.0488576,53.3433656
Secondary,8,26.04.2021,St Joseph's C.B.S,Nenagh,Tipperary,Tipperary (NR) County Council,E45F890,Munster,65370B,-8.196667,52.861944
Primary,1,26.04.2021,St Peter and Paul NS,Clonmel,Tipperary,Tipperary (Sr) County Council,E91NF43,Munster,16729S,-7.703889,52.355
Secondary,1,26.04.2021,Moate Comm. School,Moate,Westmeath,Westmeath County Council,N37DY70,Leinster,91501L,-7.7240549,53.3962015
Secondary,1,26.04.2021,Loreto Secondary School,Bray,Wicklow,Wicklow County Council,A98C822,Leinster,61820J,-6.1105049,53.2014604
Secondary,1,26.04.2021,St Kilian's Comm. School,Bray,Wicklow,Wicklow County Council,A98PP76,Leinster,91376L,-6.1105049,53.2014604
Primary,1,25.04.2021,Midleton C.B.S.,Midleton,Cork,Cork County Council,P25EK13,Munster,16684W,-8.1700962,51.9142741
Primary,1,25.04.2021,St Brigid's/Presentation Primary,Midleton,Cork,Cork County Council,P25R248,Munster,00512D,-8.1700962,51.9142741
Secondary,3,25.04.2021,Loreto Comm. School,Milford,Donegal,Donegal County Council,F92FK13,Ulster,91500J,-74.364454,41.059956
Secondary,1,25.04.2021,Mulroy College,Letterkenny,Donegal,Donegal County Council,F92FX36,Ulster,71220O,-7.7378749,54.9493649
Primary,1,25.04.2021,Scoil Chróine,Dungloe,Donegal,Donegal County Council,F94YV26,Ulster,20421M,,
Secondary,1,25.04.2021,Árdscoil Rís,"Marino, D9",Dublin,Dublin City Council,D09AK30,Dublin,60420L,-6.2347491,53.3663095
Primary,1,25.04.2021,North Dublin NS Project,DUBLIN 9,Dublin,Dublin City Council,D09PE80,Dublin,19845M,-6.2602732,53.3497645
Primary,1,25.04.2021,Holy Spirit GNS,"Ballymun, D11",Dublin,Dublin City Council,D11X26P,Dublin,19209H,-6.264985999999999,53.38970865
Primary,1,25.04.2021,St Attracta's Junior NS,"Ballinteer, D16",Dublin,Dun Laoghaire Rathdown,D16P891,Dublin,19537B,-6.2528361,53.2764266
Secondary,1,25.04.2021,Castleknock Comm. College,"Castleknock, D15",Dublin,Fingal County Council,D15A996,Dublin,76062B,-6.3714239,53.3815285
Primary,2,25.04.2021,St Francis Xavier JNS,"Castleknock, D15",Dublin,Fingal County Council,D15CX84,Dublin,19435Q,-6.3714239,53.3815285
Secondary,1,25.04.2021,Loreto Secondary School,Balbriggan,Dublin,Fingal County Council,K32R248,Dublin,60010P,-6.1861964,53.609832
Secondary,1,25.04.2021,Patrician Secondary School,Newbridge,Kildare,Kildare County Council,W12XV38,Leinster,61681V,-6.7982137,53.180124
