Type,Day cases,Report Date,School Name,Address 1,County,Local Authority,Eircode,Region,Roll Number,Lat,Long
Primary,1,19.03.2021,Pelletstown ETNS,"Rathborne, D15",Dublin,Dublin City Council,D15W571,Dublin,20392I,-6.3286808,53.3772299
Primary,2,19.03.2021,Scoil Cholmcille Junior NS,Ballybrack,Dublin,Dun Laoghaire Rathdown,A96FA40,Dublin,19641T,-6.1266112,53.252448
Primary,2,19.03.2021,Mary Mother Of Hope Junior NS,"Clonee, D15",Dublin,Fingal County Council,D15TA49,Dublin,20309S,-6.418708,53.4067306
Primary,1,19.03.2021,Mary Mother Of Hope Senior NS,"Castaheany, D15",Dublin,Fingal County Council,D15TA49,Dublin,20137P,-6.4267779,53.4026089
Primary,1,19.03.2021,Castleknock Educate Together NS,"Castleknock, D15",Dublin,Fingal County Council,D15X094,Dublin,20098I,-6.3714239,53.3815285
Primary,1,19.03.2021,St Catherine's NS,Rush,Dublin,Fingal County Council,K56TY32,Dublin,19624T,-6.0908956,53.5220444
Primary,2,19.03.2021,Holywell ETNS,Swords,Dublin,Fingal County Council,K67AP99,Dublin,20348F,-6.2184562,53.4598264
Primary,1,19.03.2021,Thornleigh Educate Together National School,Swords,Dublin,Fingal County Council,K67PH68,Dublin,20302E,-6.2184562,53.4598264
Primary,1,19.03.2021,Holy Family Senior NS,Swords,Dublin,Fingal County Council,K67V9V2,Dublin,19877C,-6.2184562,53.4598264
Primary,1,19.03.2021,St Anne's Primary School,"Tallaght, D24",Dublin,South Dublin County Council,D24DHY5,Dublin,20173T,-6.3746438,53.2874685
Pre-school,1,19.03.2021,Fledglings (St Anne's) Preschool* (not a school),"Tallaght, D24",Dublin,South Dublin County Council,D24NX24,Dublin,Creche20,-6.3746438,53.2874685
Primary,1,19.03.2021,St Brigid's JNS,"Tallaght, D24",Dublin,South Dublin County Council,D24X343,Dublin,19782O,-6.3746438,53.2874685
Primary,1,19.03.2021,S N Muire Gan Smal,Ballinasloe,Galway,Galway County Council,H53PT32,Connacht,17198S,-8.221376,53.3302722
Primary,1,19.03.2021,Cullohill NS,Rathdowney,Laois,Laois County Council,R32WV79,Leinster,19791P,-7.5838016,52.855426
Primary,2,19.03.2021,St Colmcille's NS,AUGHNACLIFFE,Longford,Longford County Council,N39CD60,Leinster,19296F,-7.6040301,53.850985
Primary,1,19.03.2021,Réalt Na Mara School,Dundalk,Louth,Louth County Council,A91TD3H,Leinster,20339E,-6.4008879,54.0046033
Primary,1,19.03.2021,Lisaniska NS,Foxford,Mayo,Mayo County Council,F26EY28,Connacht,16021U,-9.116667,53.983333
Primary,1,19.03.2021,Scoil Oilibhéir Naofa,Bettystown,Meath,Meath County Council,A92H762,Leinster,20216L,-6.2446208,53.6984819
Primary,1,19.03.2021,Navan Educate Together NS,Navan,Meath,Meath County Council,C15KV84,Leinster,20164S,-6.6833615,53.651908
Primary,1,19.03.2021,Gaelscoil An Eiscir Riada,Tullamore,Offaly,Offaly County Council,R35YP90,Leinster,19990V,-7.4928384,53.2743191
Secondary,1,19.03.2021,Cashel Comm. School,Cashel,Tipperary,Tipperary (SR) County Council,E25YT50,Munster,91497A,-7.8879351,52.5167421
Primary,1,19.03.2021,St Michael's NS,Ballyduff,Waterford,Waterford County Council,P51C673,Munster,15540Q,-8.04417355899783,52.1760435
Secondary,1,19.03.2021,Gorey Comm. School,Gorey,Wexford,Wexford County Council,Y25YX29,Leinster,91492N,-6.296367241943167,52.6769779
Primary,1,18.03.2021,Drimoleague Junior School,DRIMOLEAGUE,Cork,Cork County Council,P47PK50,Munster,19801P,-9.2599584,51.6608411
Secondary,2,18.03.2021,Crana College,Buncrana,Donegal,Donegal County Council,F93D568,Ulster,71140Q,,
Pre-school,1,18.03.2021,Links Childcare Abington* (not a school),Malahide,Dublin,,,Dublin,Creche8,-6.15367,53.4508401
Primary,1,18.03.2021,Gaelscoil Cholaiste Mhuire,"Rotunda, D1",Dublin,Dublin City Council,D01WC99,Dublin,19926M,-6.2626281292658135,53.3525935
Secondary,1,18.03.2021,O'Connell School,Dublin 1,Dublin,Dublin City Council,D01Y4A9,Dublin,60440R,-6.2602732,53.3497645
Primary,2,18.03.2021,Holy Child GNS,"Whitehall, D9",Dublin,Dublin City Council,D09YR59,Dublin,20338C,-6.2431944,53.382668
Primary,1,18.03.2021,Scoil Cholmcille Senior NS,Ballybrack,Dublin,Dun Laoghaire Rathdown,A96TN32,Dublin,19438W,-6.1266112,53.252448
Primary,1,18.03.2021,Castleknock Educate Together NS,"Castleknock, D15",Dublin,Fingal County Council,D15X094,Dublin,20098I,-6.3714239,53.3815285
Primary,1,18.03.2021,Balscadden NS,Ring Commons,Dublin,Fingal County Council,K32VK33,Dublin,09492W,-6.226608894023499,53.5806486
Pre-school,1,18.03.2021,Roots and Wings Early Years Ed. and Care* (not a school),Donabate,Dublin,Fingal County Council,K36N678,Dublin,Creche15,-6.1485698,53.4864092
Primary,1,18.03.2021,St Cronans Junior NS,Swords,Dublin,Fingal County Council,K67DP28,Dublin,19456B,-6.2184562,53.4598264
Primary,2,18.03.2021,St Finian's NS,Newcastle,Dublin,South Dublin County Council,D22A388,Dublin,16461C,-6.5013576,53.2999844
Primary,1,18.03.2021,Citywest ETNS,"Citywest, D24",Dublin,South Dublin County Council,D24TR94,Dublin,20402I,-6.2588127,53.3398632
Primary,1,18.03.2021,St Thomas Junior NS,"Tallaght, D24",Dublin,South Dublin County Council,D24X577,Dublin,19702N,-6.3746438,53.2874685
Primary,1,18.03.2021,Holy Family NS,Rathcoole,Dublin,South Dublin County Council,D24XH22,Dublin,13217W,-6.4679425,53.2813003
Secondary,1,18.03.2021,Coláiste Bhaile Chláir,Claregalway,Galway,Galway County Council,H91D635,Connacht,76233C,-8.9462388,53.3404819
Primary,1,18.03.2021,Kildare Town Comm. School,Kildare Town,Kildare,Kildare County Council,R51D288,Leinster,91530S,-6.9106278,53.1569027
Primary,2,18.03.2021,Gaelscoil Ui Fhiaich,Maigh Nuad,Kildare,Kildare County Council,W23T207,Leinster,20058T,-6.5922806,53.3830239
Primary,1,18.03.2021,St Colman's NS,Stradbally,Laois,Laois County Council,R32VR84,Leinster,20353V,-7.1499661,53.0160548
Primary,1,18.03.2021,St Johns Girls & Infant Boys School,Limerick City,Limerick,Limerick City Council,V94T223,Munster,06936R,-8.6301239,52.661252
Primary,2,18.03.2021,St Colmcille's NS,AUGHNACLIFFE,Longford,Longford County Council,N39CD60,Leinster,19296F,-7.6040301,53.850985
Secondary,1,18.03.2021,Scoil Ui Mhuiri,Dunleer,Louth,Louth County Council,A92FY96,Leinster,71780G,-6.3950752,53.8316175
Secondary,1,18.03.2021,Coláiste Na Mí,Navan,Meath,Meath County Council,C15T028,Leinster,76173K,-6.6833615,53.651908
Secondary,1,18.03.2021,Banagher College,Banagher,Offaly,Offaly County Council,R42RF66,Leinster,76105Q,-7.986667,53.188611
Secondary,1,18.03.2021,CBS High School,Clonmel,Tipperary,Tipperary (SR) County Council,E91AC03,Munster,65320J,-7.703889,52.355
Primary,1,18.03.2021,St Patrick's NS,Greystones,Wicklow,Wicklow County Council,A63EY42,Leinster,12554M,-6.0632184,53.1448901
Primary,1,17.03.2021,Scoil Eoin Báiste,Carrigart,Donegal,Donegal County Council,F92HD88,Ulster,19252I,,
Primary,1,17.03.2021,Gaelscoil Bhrian Bóroimhe,Swords,Dublin,Fingal County Council,K67T3H2,Dublin,20095C,-6.2184562,53.4598264
Primary,1,17.03.2021,St Bernadette's Junior NS,"Clondalkin, D22",Dublin,South Dublin County Council,D22CD39,Dublin,19743E,-6.3942689,53.3219624
Primary,1,17.03.2021,St Mary's Senior NS,"Clondalkin, D22",Dublin,South Dublin County Council,D22WN40,Dublin,19647I,-6.3942689,53.3219624
Primary,1,17.03.2021,St Joseph's Special Sch,Newcastle,Galway,Galway City Council,H91K095,Connacht,19047H,-9.0713609,53.2820534
Pre-school,2,17.03.2021,Camp Comm. Childare* (not a school),Ballinknockane,Kerry,Kerry County Council,V92RYW3,Munster,Creche12,-9.914561408110854,52.22396715
Primary,1,17.03.2021,Aughacasla NS,Camp,Kerry,Kerry County Council,V92Y312,Munster,14767Q,-9.9087276,52.2208624
Primary,1,17.03.2021,Banogue NS,Croom,Limerick,Limerick County Council,V35HY63,Munster,07222G,-8.719826480184732,52.51548635
Pre-school,1,17.03.2021,Banogue Comm. Creche* (not a school),Croom,Limerick,Limerick County Council,V35PW27,Munster,Creche13,-8.719826480184732,52.51548635
Pre-school,1,17.03.2021,Fonthill Lodge Daycare* (not a school),Clonee,Meath,Meath County Council,,Leinster,Creche7,-6.4404037,53.4104332
Primary,1,17.03.2021,Realt Na Mara GNS,Mornington,Meath,Meath County Council,A92T382,Leinster,18767N,-6.2825549,53.7213844
Primary,1,17.03.2021,Gaelscoil An Eiscir Riada,Tullamore,Offaly,Offaly County Council,R35YP90,Leinster,19990V,-7.4928384,53.2743191
Primary,1,17.03.2021,Glanduff NS,Athlone,Roscommon,Roscommon County Council,N37YV82,Connacht,18626S,-8.04471113233565,53.45738255
Secondary,1,17.03.2021,Mercy College,Sligo,Sligo,Sligo County Council,F91CF80,Connacht,65181V,-8.4751357,54.2720696
Primary,1,17.03.2021,Gaelscoil Inis Corthaidh,Enniscorthy,Wexford,Wexford County Council,Y21PP59,Leinster,20057R,-6.5674944,52.5011493
Primary,1,16.03.2021,St Anne's NS,Bailieborough,Cavan,Cavan County Council,A82DR53,Ulster,18059J,,
Secondary,1,16.03.2021,Bailieborough Community School,Bailieborough,Cavan,Cavan County Council,A82P585,Ulster,91351S,,
Primary,1,16.03.2021,Ballyconnell Mxd NS,Ballyconnell,Cavan,Cavan County Council,H14HK81,Ulster,16093W,,
Secondary,1,16.03.2021,Ashton School,Cork,Cork,Cork City Council,T12AF50,Munster,81008W,-8.4705942,51.898627
Primary,1,16.03.2021,Gaelscoil Chois Feabhaill,Moville,Donegal,Donegal County Council,F93YXD2,Ulster,20144M,-7.0386814,55.1891297
Primary,1,16.03.2021,Lycée Français d'Irlande,Foxrock Avenue,Dublin,Dun Laoghaire Rathdown,D18HP73,Dublin,PrimSch1,-6.1717775,53.2774392
Primary,2,16.03.2021,St Catherine's NS,Rush,Dublin,Fingal County Council,K56TY32,Dublin,19624T,-6.0908956,53.5220444
Pre-school,1,16.03.2021,Bright Sparks Montessori+Daycare* (not a school),"Clondalkin, D22",Dublin,South Dublin County Council,D22RX34,Dublin,Creche11,-6.3942689,53.3219624
Primary,1,16.03.2021,St Mark's JNS,"Tallaght, D24",Dublin,South Dublin County Council,D24FT95,Dublin,19472W,-6.3746438,53.2874685
Primary,1,16.03.2021,St Dominic's National School,"Tallaght, D24",Dublin,South Dublin County Council,D24P7XC,Dublin,20468P,-6.3746438,53.2874685
Primary,1,16.03.2021,St Brigid's JNS,"Tallaght, D24",Dublin,South Dublin County Council,D24X343,Dublin,19782O,-6.3746438,53.2874685
Primary,1,16.03.2021,Claregalway NS,Claregalway,Galway,Galway County Council,H91C6D0,Connacht,16804G,-8.9462388,53.3404819
Secondary,1,16.03.2021,Kildare Town Comm. School,Kildare Town,Kildare,Kildare County Council,R51D288,Leinster,91530S,-6.9106278,53.1569027
Primary,1,16.03.2021,St Ultan's Special School,Navan,Meath,Meath County Council,C15HX60,Leinster,19216E,-6.6833615,53.651908
Primary,1,16.03.2021,St Cóman's Wood Primary School,Roscommon,Roscommon,Roscommon County Council,F42YH60,Connacht,20498B,-8.19068,53.6312446
Primary,1,16.03.2021,Gaelscoil Inis Corthaidh,Enniscorthy,Wexford,Wexford County Council,Y21PP59,Leinster,20057R,-6.5674944,52.5011493
Primary,1,16.03.2021,St Patrick's Loreto Primary,Bray,Wicklow,Wicklow County Council,A98F652,Leinster,17537O,-6.1105049,53.2014604
Primary,2,15.03.2021,Ballyraine NS,Letterkenny,Donegal,Donegal County Council,F92CX29,Ulster,19411C,-7.7378749,54.9493649
Primary,1,15.03.2021,St James's Primary School,"James' Street, D8",Dublin,Dublin City Council,D08EC96,Dublin,20429F,-74.4775626,40.7892554
Primary,1,15.03.2021,Mary Mother Of Hope Junior NS,"Clonee, D15",Dublin,Fingal County Council,D15TA49,Dublin,20309S,-6.418708,53.4067306
Primary,2,15.03.2021,Scoil Ghrainne Comm. NS,"Clonee, D15",Dublin,Fingal County Council,D15Y5PR,Dublin,20247W,-6.418708,53.4067306
Primary,1,15.03.2021,Holy Family Junior NS,Swords,Dublin,Fingal County Council,K67PX92,Dublin,19721R,-6.2184562,53.4598264
Primary,2,15.03.2021,St Finian's NS,Newcastle,Dublin,South Dublin County Council,D22A388,Dublin,16461C,-6.5013576,53.2999844
Primary,1,15.03.2021,Scoil Naomh Aine,"Clondalkin, D22",Dublin,South Dublin County Council,D22X577,Dublin,19221U,-6.3942689,53.3219624
Primary,1,15.03.2021,Knockmore JNS,"Tallaght, D24",Dublin,South Dublin County Council,D24C921,Dublin,19775R,-6.3746438,53.2874685
Primary,2,15.03.2021,Two Mile House NS,Naas,Kildare,Kildare County Council,W91YY75,Leinster,17968S,-6.6574093,53.2214677
Secondary,1,15.03.2021,Scoil Ui Mhuiri,Dunleer,Louth,Louth County Council,A92FY96,Leinster,71780G,-6.3950752,53.8316175
Primary,1,15.03.2021,Dunboyne Junior NS,Dunboyne,Meath,Meath County Council,A86HW57,Leinster,20032B,-6.4760189,53.4194359
Primary,1,15.03.2021,St Stephen's NS,Navan,Meath,Meath County Council,C15AE03,Leinster,20179I,-6.6833615,53.651908
Primary,1,15.03.2021,St Mary's Convent NS,Trim,Meath,Meath County Council,C15WF98,Leinster,16646O,-6.789775120801938,53.5542857
Primary,1,15.03.2021,Tubberclare NS,Athlone,Westmeath,Westmeath County Council,N37XV00,Leinster,18505G,-7.942705,53.4230832
Primary,1,15.03.2021,Gaelscoil Inis Corthaidh,Enniscorthy,Wexford,Wexford County Council,Y21PP59,Leinster,20057R,-6.5674944,52.5011493
Primary,1,14.03.2021,Inchicore NS,"Inchicore, D10",Dublin,Dublin City Council,D10V963,Dublin,20139T,-6.3209233,53.3394635
Primary,1,14.03.2021,St Canices BNS,"Finglas, D11",Dublin,Dublin City Council,D11TW01,Dublin,18682F,-6.2992966,53.3902233
Pre-school,1,14.03.2021,Fun Galaxy Afterschool* (not a school),Swords,Dublin,Fingal County Council,K67VOP1,Dublin,Creche10,-6.2184562,53.4598264
Primary,3,14.03.2021,Tuam Educate Together National School,Tuam,Galway,Galway County Council,H54N237,Connacht,20456I,-8.8512875,53.5147915
Pre-school,1,14.03.2021,Daisy Chain Day Care* (not a school),Tuam,Galway,Galway County Council,H54WK24,Connacht,Creche9,-8.8512875,53.5147915
Primary,1,14.03.2021,Gaelscoil Riabhach,Loughrea,Galway,Galway County Council,H62TK22,Connacht,20123E,-8.5690594,53.1981624
Secondary,1,14.03.2021,Rathangan Comm. School,Rathangan,Kildare,Kildare County Council,R51DA36,Leinster,70730J,-6.9929735,53.2203302
Secondary,1,14.03.2021,Maynooth Post Primary School,Maynooth,Kildare,Kildare County Council,W23HC66,Leinster,70700A,-6.5922806,53.3830239
Secondary,1,14.03.2021,Scoil Ui Mhuiri,Dunleer,Louth,Louth County Council,A92FY96,Leinster,71780G,-6.3950752,53.8316175
Primary,1,14.03.2021,Dunboyne Junior NS,Dunboyne,Meath,Meath County Council,A86HW57,Leinster,20032B,-6.4760189,53.4194359
Secondary,4,14.03.2021,Coláiste Bríde,Enniscorthy,Wexford,Wexford County Council,Y21EF82,Leinster,63570W,-6.5674944,52.5011493
Pre-school,1,13.03.2021,Links Childcare Abington* (not a school),Malahide,Dublin,,,Dublin,Creche8,-6.15367,53.4508401
Primary,1,13.03.2021,Scoil Mhuire Gan Smal B,"Inchicore, D8",Dublin,Dublin City Council,D08Y9T4,Dublin,17083B,-6.3209233,53.3394635
Primary,1,13.03.2021,Scoil Thomais,"Castleknock, D15",Dublin,Fingal County Council,D15VW02,Dublin,19769W,-6.3714239,53.3815285
Secondary,1,13.03.2021,Old Bawn Comm. School,"Tallaght, D24",Dublin,South Dublin County Council,D24HP38,Dublin,91336W,-6.3746438,53.2874685
Secondary,1,13.03.2021,Coláiste An Eachréidh,Athenry,Galway,Galway County Council,H65YT10,Connacht,76102K,-8.7468297,53.2991901
Primary,1,13.03.2021,San Carlo Junior NS,Leixlip,Kildare,Kildare County Council,W23E9D0,Leinster,19653D,-6.4897438,53.3644766
Primary,1,13.03.2021,Réalt Na Mara School,Dundalk,Louth,Louth County Council,A91TD3H,Leinster,20339E,-6.4008879,54.0046033
Secondary,4,13.03.2021,Ballinrobe Comm. School,Ballinrobe,Mayo,Mayo County Council,F31XD53,Connacht,91462E,-9.2207207,53.6227775
Pre-school,1,13.03.2021,Fonthill Lodge Daycare* (not a school),Clonee,Meath,Meath County Council,,Leinster,Creche7,-6.4404037,53.4104332
Primary,1,13.03.2021,Glanduff NS,Athlone,Roscommon,Roscommon County Council,N37YV82,Connacht,18626S,-8.04471113233565,53.45738255
Primary,1,13.03.2021,St Cecilia's School,Sligo,Sligo,Sligo County Council,F91X283,Connacht,19206B,-8.4751357,54.2720696
Pre-school,1,13.03.2021,First Steps Creche* (not a school),Cloughjordan,Tipperary,Tipperary (Nr) County Council,,Munster,Creche6,-8.0392342,52.9429227
Primary,3,13.03.2021,St Kevin's NS,Greystones,Wicklow,Wicklow County Council,A63AD73,Leinster,17720F,-6.0632184,53.1448901
Primary,1,12.03.2021,Ballyraine NS,Letterkenny,Donegal,Donegal County Council,F92CX29,Ulster,19411C,-7.7378749,54.9493649
Primary,1,12.03.2021,Christ The King I G,"Cabra, D7",Dublin,Dublin City Council,D07HV12,Dublin,17459U,-6.2817747,53.3641011
Primary,1,12.03.2021,St Catherine's Infant School,"Cabra, D7",Dublin,Dublin City Council,D07TP21,Dublin,17466R,-6.2817747,53.3641011
Primary,2,12.03.2021,Gaelscoil Ui Earcain,"Finglas, D11",Dublin,Dublin City Council,D11VP44,Dublin,20220C,-6.2992966,53.3902233
Primary,1,12.03.2021,The Harold School,Glasthule,Dublin,Dun Laoghaire Rathdown,A96X043,Dublin,20141G,-6.126215011607295,53.2884307
Primary,1,12.03.2021,St Damian's NS,"Perrystown, D12",Dublin,South Dublin County Council,D12FWV6,Dublin,19943M,-6.3192687,53.3073281
Primary,1,12.03.2021,Ballyroan BNS,"Rathfarnham, D16",Dublin,South Dublin County Council,D16YX54,Dublin,03359N,-6.2881356328347575,53.29742105
Primary,1,12.03.2021,Scoil Mhuire,"Clondalkin, D22",Dublin,South Dublin County Council,D22F851,Dublin,18602E,-6.3942689,53.3219624
Primary,1,12.03.2021,Sacred Heart NS,"Clondalkin, D22",Dublin,South Dublin County Council,D22H224,Dublin,19799I,-6.3942689,53.3219624
Primary,1,12.03.2021,St Mary's Junior NS,"Clondalkin, D22",Dublin,South Dublin County Council,D22H504,Dublin,19575J,-6.3942689,53.3219624
Secondary,2,12.03.2021,Holy Family Comm. School,Rathcoole,Dublin,South Dublin County Council,D24FT54,Dublin,91301D,-6.4679425,53.2813003
Primary,1,12.03.2021,Trinity Primary School,Tuam,Galway,Galway County Council,,Connacht,20547L,-8.8512875,53.5147915
Primary,1,12.03.2021,Tuam Educate Together National School,Tuam,Galway,Galway County Council,H54N237,Connacht,20456I,-8.8512875,53.5147915
Primary,3,12.03.2021,St Oliver's Special School,Tuam,Galway,Galway County Council,H54TW08,Connacht,20330J,-8.8512875,53.5147915
Primary,2,12.03.2021,Kildare Town Educate Together,Kildare Town,Kildare,Kildare County Council,R51RX38,Leinster,20403K,-6.9106278,53.1569027
Secondary,1,12.03.2021,Maynooth Post Primary School,Maynooth,Kildare,Kildare County Council,W23HC66,Leinster,70700A,-6.5922806,53.3830239
Secondary,1,12.03.2021,St Mary's College,Naas,Kildare,Kildare County Council,W91VW90,Leinster,61730I,-6.6574093,53.2214677
Secondary,1,12.03.2021,Scoil Na Tríonóide Naofa,Doon,Limerick,Limerick County Council,V94Y6H6,Munster,68121S,-8.2485219,52.6043925
Secondary,1,12.03.2021,Eureka Secondary School,Kells,Meath,Meath County Council,A82R6C4,Leinster,64410F,-6.8761704,53.7274118
Primary,1,12.03.2021,St Rynaghs NS,Birr,Offaly,Offaly County Council,R42H221,Leinster,18157J,-7.9108738,53.0965843
Primary,1,12.03.2021,St Attracta's NS,Ballaghaderreen,Roscommon,Roscommon County Council,F45H367,Connacht,19980S,-8.5788648,53.9013669
Primary,1,12.03.2021,Dalystown NS,Mullingar,Westmeath,Westmeath County Council,N91W207,Leinster,15307K,-7.3415454,53.5263035
Secondary,3,12.03.2021,St Mary's C.B.S.,Enniscorthy,Wexford,Wexford County Council,Y21YK35,Leinster,63560T,-6.5674944,52.5011493
Primary,1,11.03.2021,Ballyconnell Mxd NS,Ballyconnell,Cavan,Cavan County Council,H14HK81,Ulster,16093W,,
Primary,1,11.03.2021,St Anthony's NS,Cork City,Cork,Cork City Council,T12E400,Munster,12203G,-8.465384593866203,51.88977945
Secondary,1,11.03.2021,Crana College,Buncrana,Donegal,Donegal County Council,F93D568,Ulster,71140Q,,
Secondary,1,11.03.2021,St Declan's College,"Cabra, D7",Dublin,Dublin City Council,D07NN63,Dublin,60491L,-6.2817747,53.3641011
Primary,1,11.03.2021,St James's Primary School,"James' Street, D8",Dublin,Dublin City Council,D08EC96,Dublin,20429F,-74.4775626,40.7892554
Primary,1,11.03.2021,St Oliver Plunkett NS,"Finglas, D11",Dublin,Dublin City Council,D11XA46,Dublin,19546C,-6.2992966,53.3902233
Primary,1,11.03.2021,St Laurence's NS,"Baldoyle, D13",Dublin,Dublin City Council,D13C924,Dublin,20437E,-6.1285497,53.3958303
Secondary,1,11.03.2021,Blakestown Community School,"Blanchardstown, D15",Dublin,Fingal County Council,D15F978,Dublin,91316Q,-6.3777514,53.389792
Secondary,1,11.03.2021,Balbriggan Comm. College,Balbriggan,Dublin,Fingal County Council,K32HE19,Dublin,70010V,-6.1861964,53.609832
Secondary,1,11.03.2021,Maynooth Comm. College,Maynooth,Kildare,Kildare County Council,W23HC66,Leinster,76193Q,-6.5922806,53.3830239
Primary,1,11.03.2021,Robertstown NS,Robertstown,Kildare,Kildare County Council,W91D403,Leinster,18430B,-6.8161946,53.2697889
Primary,2,11.03.2021,Two Mile House NS,Naas,Kildare,Kildare County Council,W91YY75,Leinster,17968S,-6.6574093,53.2214677
Primary,1,11.03.2021,Catherine Mc Auley Special School,Limerick City,Limerick,Limerick City Council,V94AW98,Munster,18692I,-8.6301239,52.661252
Primary,1,11.03.2021,Carracastle Central NS,Ballaghaderreen,Mayo,Mayo County Council,F45VK23,Connacht,19651W,-8.5788648,53.9013669
Primary,1,11.03.2021,Dunboyne Junior NS,Dunboyne,Meath,Meath County Council,A86HW57,Leinster,20032B,-6.4760189,53.4194359
Primary,1,11.03.2021,St Stephen's NS,Navan,Meath,Meath County Council,C15AE03,Leinster,20179I,-6.6833615,53.651908
Primary,3,11.03.2021,St Anne's Loreto Primary,Navan,Meath,Meath County Council,C15E208,Leinster,00883P,-6.6833615,53.651908
Primary,1,11.03.2021,Scoil Naomh Eoin,Navan,Meath,Meath County Council,C15HK75,Leinster,20180Q,-6.6833615,53.651908
Primary,1,10.03.2021,Scoil Nioclais,Cork City,Cork,Cork City Council,T12HD86,Munster,20106E,-8.465384593866203,51.88977945
Secondary,1,10.03.2021,Cork City Learning Support Service,Cork City,Cork,Cork City Council,T12KF72,Munster,SecSch1,-8.465384593866203,51.88977945
Secondary,1,10.03.2021,Gaelcholáiste Mhuire,Cork City,Cork,Cork City Council,T23WN77,Munster,62531H,-8.465384593866203,51.88977945
Primary,1,10.03.2021,Kilbrittain Mixed NS,Kilbrittain,Cork,Cork County Council,P72N668,Munster,14116V,-8.693074658098345,51.6746193
Primary,1,10.03.2021,Scoil Eoin,Dublin 5,Dublin,Dublin City Council,D05K5P2,Dublin,19935N,-6.181923245473566,53.3834538
Primary,1,10.03.2021,Gaelscoil Ui Earcain,"Finglas, D11",Dublin,Dublin City Council,D11VP44,Dublin,20220C,-6.2992966,53.3902233
Primary,1,10.03.2021,Scoil Choilm Comm. NS,"Clonsilla, D15",Dublin,Fingal County Council,D15X582,Dublin,20241K,-6.423507,53.3827908
Secondary,1,10.03.2021,Portumna Community School,Portumna,Galway,Galway County Council,H53N403,Connacht,91413O,-8.2193411,53.0922942
Secondary,1,10.03.2021,Gaelcholáiste Chiarraí,Tralee,Kerry,Kerry County Council,V92N763,Munster,70560K,-9.7054085,52.2692835
Primary,1,10.03.2021,Scoil Chóca Naofa,Kilcock,Kildare,Kildare County Council,W23KD79,Leinster,11976K,-6.6678589,53.400763
Primary,1,10.03.2021,Scoil Na Mainistreach,Celbridge,Kildare,Kildare County Council,W23VR98,Leinster,18551N,-6.5396223,53.3383004
Primary,1,10.03.2021,St Mary's NS,Edgeworthstown,Longford,Longford County Council,N39PX32,Leinster,20124G,-7.6097215,53.6966661
Primary,1,10.03.2021,Balla NS,Balla,Mayo,Mayo County Council,F23W272,Connacht,17119T,-9.1309891,53.8043574
Primary,1,10.03.2021,St Attracta's NS,Ballaghaderreen,Roscommon,Roscommon County Council,F45H367,Connacht,19980S,-8.5788648,53.9013669
Secondary,1,10.03.2021,St Mary's C.B.S.,Enniscorthy,Wexford,Wexford County Council,Y21YK35,Leinster,63560T,-6.5674944,52.5011493
Primary,1,9.03.2021,S N Cill Damhain,Kildavin,Carlow,Carlow County Council,Y21EC60,Leinster,18090D,-6.6853541,52.68384
Primary,1,9.03.2021,S N Cholmcille Boys,Swords,Dublin,Fingal County Council,K67WP65,Dublin,18976W,-6.2184562,53.4598264
Primary,1,9.03.2021,St Thomas Junior National School,Lucan,Dublin,South Dublin County Council,K78PF57,Dublin,19542R,-6.4501534,53.3567157
Pre-school,1,9.03.2021,Over the Rainbow Creche* (not a school),Tuam,Galway,Galway County Council,H54HD76,Connacht,Creche5,-8.8512875,53.5147915
Secondary,1,9.03.2021,Mercy Secondary School Mounthawk,Tralee,Kerry,Kerry County Council,V92A409,Munster,68070E,-9.7054085,52.2692835
Secondary,1,9.03.2021,De La Salle College,Waterford,Waterford,Waterford City Council,X91DT68,Munster,64950O,-7.1119081,52.2609997
Secondary,1,8.03.2021,Chanel College,"Malahide Road, D5",Dublin,Dublin City Council,D05EY86,Dublin,60550B,-6.1769152,53.4365073
Primary,1,8.03.2021,St Michael's House Special School,"Raheny, D5",Dublin,Dublin City Council,D05V1F6,Dublin,19373U,-6.161141164682835,53.38507445921227
Secondary,1,8.03.2021,The High School,"Rathgar, D6",Dublin,Dublin City Council,D06YR68,Dublin,60670L,-6.2676273,53.3206853
Primary,1,8.03.2021,St Francis Junior National School,"Priorswood, D17",Dublin,Dublin City Council,D17KH30,Dublin,17104G,-6.211049951788473,53.40288005
Pre-school,1,8.03.2021,Castle Kidz Childcare* (not a school),Ballaghaderreen,Mayo,Mayo County Council,F45Y205,Connacht,Creche4,-8.5788648,53.9013669
Primary,1,8.03.2021,Annyalla National School,Annyalla,Monaghan,Monaghan County Council,A75AY80,Ulster,16842O,,
Primary,1,8.03.2021,St Attracta's NS,Ballaghaderreen,Roscommon,Roscommon County Council,F45H367,Connacht,19980S,-8.5788648,53.9013669
Secondary,1,8.03.2021,Moate Comm. School,Moate,Westmeath,Westmeath County Council,N37DY70,Leinster,91501L,-7.7240549,53.3962015
Primary,1,8.03.2021,All Saints' NS,Mullingar,Westmeath,Westmeath County Council,N91DE70,Leinster,18744B,-7.3415454,53.5263035
Secondary,1,8.03.2021,Coláiste Bríde,Enniscorthy,Wexford,Wexford County Council,Y21EF82,Leinster,63570W,-6.5674944,52.5011493
Secondary,1,8.03.2021,Creagh College,Gorey,Wexford,Wexford County Council,Y25V6Y9,Leinster,76127D,-6.296367241943167,52.6769779
