OBJECTID;JPT_NAZWA_;JPT_KJ_I_1;JPT_KJ_I_2;POTWIERDZONE_DZIENNE;POTWIERDZONE_10_TYS_OSOB;ZGONY;ZGONY_COVID;ZGONY_WSPOLISTNIEJACE;KWARANTANNA;TESTY;TESTY_POZYTYWNE;TESTY_NEGATYWNE;ZLECENIA_POZ;TESTY_POZOSTALE;POPULACJA;Shape__Area;Shape__Length;LICZBA_OZDROWIENCOW;WOJEWODZTWO;Shape__Area_2;Shape__Length_2;
342;powiat miechowski;1208;t1208;18;3.7;1;1;0;456;72;18;51;34;3;49137;None;None;28;małopolskie;1662032242.75977;238364.407091624;
343;powiat myślenicki;1209;t1209;51;3.99;2;2;0;1101;205;53;139;68;13;127028;None;None;102;małopolskie;1613866565.74023;259476.914595978;
344;powiat olkuski;1212;t1212;58;5.23;2;0;2;1056;206;63;142;88;1;112035;None;None;148;małopolskie;1515215906.7168;270858.286961839;
345;powiat oświęcimski;1213;t1213;66;4.31;15;0;15;1615;296;71;222;104;3;153737;None;None;136;małopolskie;981320719.567383;261652.61136021;
346;powiat Piotrków Trybunalski;1062;t1062;18;2.47;1;0;1;542;219;23;194;48;2;73670;None;None;71;łódzkie;173276488.258789;71881.5522481474;
347;powiat poddębicki;1011;t1011;28;6.82;0;0;0;368;90;31;59;43;0;41205;None;None;16;łódzkie;2309433505.95605;312535.395219237;
348;powiat wieluński;1017;t1017;33;4.34;1;1;0;774;275;51;224;74;0;76699;None;None;9;łódzkie;2359564045.34766;331626.3188463;
349;powiat brzozowski;1802;t1802;25;3.82;1;0;1;416;107;25;79;24;3;65713;None;None;16;podkarpackie;1289164217.79297;212104.286430237;
350;powiat kędzierzyńsko-kozielski;1603;t1603;35;3.74;2;0;2;731;220;37;181;45;2;94487;None;None;82;opolskie;1528582222.20508;239939.874436425;
351;powiat krotoszyński;3012;t3012;24;3.11;1;1;0;689;128;25;102;42;1;77488;None;None;56;wielkopolskie;1858017681.67578;296336.882525476;
352;powiat Białystok;2061;t2061;139;4.67;3;0;3;1742;641;144;495;195;2;297459;None;None;192;podlaskie;283100479.794922;97695.546879371;
353;powiat wolsztyński;3029;t3029;10;1.74;1;1;0;622;65;10;54;60;1;57326;None;None;16;wielkopolskie;1795640548.40234;317518.555938306;
354;powiat sandomierski;2609;t2609;24;3.13;0;0;0;735;130;29;100;46;1;77773;None;None;42;świętokrzyskie;1681411214.11133;268886.078133494;
355;powiat szczecinecki;3215;t3215;16;2.07;0;0;0;494;150;17;132;47;1;77965;None;None;55;zachodniopomorskie;5036378825.39453;454777.748034297;
356;powiat świdwiński;3216;t3216;9;1.93;0;0;0;197;87;9;78;16;0;47242;None;None;14;zachodniopomorskie;3126598694.81348;365608.646072048;
357;powiat piski;2816;t2816;7;1.25;0;0;0;207;94;7;85;23;2;56570;None;None;14;warmińsko-mazurskie;5046179073.80176;433288.872179069;
358;powiat Świętochłowice;2476;t2476;38;7.7;1;0;1;499;134;40;93;51;1;50012;None;None;49;śląskie;32731936.0644531;30867.1337794506;
359;powiat Zabrze;2478;t2478;81;4.72;1;0;1;1370;318;85;229;121;4;173374;None;None;134;śląskie;197347546.361328;88637.7966549958;
360;powiat Olsztyn;2862;t2862;23;1.34;4;1;3;774;249;27;219;85;3;172362;None;None;78;warmińsko-mazurskie;252421810.499023;90660.3166511827;
361;powiat braniewski;2802;t2802;9;2.2;1;0;1;351;47;9;38;37;0;41391;None;None;24;warmińsko-mazurskie;3529684812.90723;399225.05519669;
362;powiat kamieński;3207;t3207;11;2.35;0;0;0;298;88;11;76;29;1;47227;None;None;23;zachodniopomorskie;2884174497.7334;290991.457285237;
363;powiat Częstochowa;2464;t2464;127;5.79;2;0;2;1749;542;133;397;172;12;222292;None;None;225;śląskie;399247866.318359;106411.530287821;
364;powiat trzebnicki;0220;t0220;52;6.09;0;0;0;1039;206;54;151;51;1;84886;None;None;86;dolnośląskie;2627227548.87891;336703.855299694;
365;powiat bydgoski;0403;t0403;57;4.77;4;0;4;1216;297;59;228;88;10;117325;None;None;152;kujawsko-pomorskie;3875092483.6748;613678.532160678;
366;powiat oławski;0215;t0215;59;7.68;0;0;0;1109;193;63;129;42;1;76595;None;None;85;dolnośląskie;1320264010.55078;248842.19689097;
367;powiat średzki;0218;t0218;31;5.6;0;0;0;754;121;36;83;58;2;54269;None;None;70;dolnośląskie;1785833848.09668;255838.614676107;
368;powiat legnicki;0209;t0209;25;4.53;1;1;0;716;113;26;81;62;6;55326;None;None;44;dolnośląskie;1894182101.6875;417975.563831618;
369;powiat Bydgoszcz;0461;t0461;148;4.27;9;0;9;3012;988;156;819;220;13;350178;None;None;360;kujawsko-pomorskie;487859500.852539;166909.379198188;
370;powiat Grudziądz;0462;t0462;40;4.25;7;4;3;554;330;42;284;46;4;95045;None;None;62;kujawsko-pomorskie;162524079.732422;85793.1922401448;
371;powiat rypiński;0412;t0412;9;2.07;0;0;0;408;54;9;45;15;0;43826;None;None;46;kujawsko-pomorskie;1621307955.22949;293781.957479165;
372;powiat gorlicki;1205;t1205;36;3.31;4;0;4;909;189;41;146;58;2;109104;None;None;81;małopolskie;2298309835.50098;286167.927978425;
373;powiat lubański;0210;t0210;26;4.81;0;0;0;565;73;32;39;28;2;54699;None;None;40;dolnośląskie;1082542424.47266;223520.993603038;
374;powiat wadowicki;1218;t1218;73;4.56;1;0;1;1586;272;76;193;97;3;160130;None;None;171;małopolskie;1554116100.95508;230170.209458892;
375;powiat ostrołęcki;1415;t1415;19;2.14;1;0;1;570;93;21;66;31;6;88735;None;None;35;mazowieckie;5813127391.0127;680466.63982048;
376;powiat Żory;2479;t2479;40;6.38;0;0;0;899;132;42;86;53;4;62456;None;None;91;śląskie;156365802.828125;78538.7891336774;
377;powiat nowodworski;2210;t2210;11;3.1;0;0;0;285;69;12;56;17;1;35746;None;None;27;pomorskie;1973229919.88281;300382.777703261;
378;powiat jaworski;0205;t0205;28;5.61;1;1;0;469;117;30;85;31;2;50545;None;None;28;dolnośląskie;1466351509.92383;295483.721298907;
379;powiat poznański;3021;t3021;254;6.3;5;2;3;5989;1101;270;822;358;9;390308;None;None;542;wielkopolskie;5091056913.0459;714827.137210189;
380;powiat koniński;3010;t3010;38;2.92;1;0;1;1082;179;39;134;80;6;129966;None;None;87;wielkopolskie;4209869970.90723;558031.619017645;
