population,total_vacc,new_vacc,total_vacc_2,new_vacc_2,slots_7,slots_30,date,powiat,wojew
52196,64642,0,24467,0,44,47,2022-10-01,sierpecki,mazowieckie
74817,85940,0,28556,0,190,276,2022-10-01,skarżyski,świętokrzyskie
38195,32615,0,12679,0,32,132,2022-10-01,skierniewicki,łódzkie
85105,125668,0,45731,0,224,563,2022-10-01,sochaczewski,mazowieckie
54217,64390,0,23290,0,28,57,2022-10-01,sokołowski,mazowieckie
67466,67075,0,24385,0,231,854,2022-10-01,sokólski,podlaskie
106619,108232,0,39669,0,340,1042,2022-10-01,stalowowolski,podkarpackie
90377,99946,0,34288,0,61,167,2022-10-01,starachowicki,świętokrzyskie
120112,148800,33,49884,0,1853,2937,2022-10-01,stargardzki,zachodniopomorskie
128004,160861,0,56139,0,703,2461,2022-10-01,starogardzki,pomorskie
72167,58442,0,20519,0,58,84,2022-10-01,staszowski,świętokrzyskie
74665,90209,0,31178,0,349,1653,2022-10-01,strzelecki,opolskie
49366,77064,0,26307,0,129,399,2022-10-01,strzelecko-drezdenecki,lubuskie
43773,57751,0,20132,0,186,352,2022-10-01,strzeliński,dolnośląskie
61558,41012,0,15457,0,467,1133,2022-10-01,strzyżowski,podkarpackie
35297,51375,0,16686,0,208,831,2022-10-01,sulęciński,lubuskie
84255,102830,0,37581,0,193,248,2022-10-01,suski,małopolskie
35792,13409,0,4832,0,19,19,2022-10-01,suwalski,podlaskie
91185,120028,3,39410,0,1126,1820,2022-10-01,szamotulski,wielkopolskie
77965,126161,0,43560,0,1393,5316,2022-10-01,szczecinecki,zachodniopomorskie
69885,87441,0,31359,0,249,380,2022-10-01,szczycieński,warmińsko-mazurskie
41569,63708,0,22438,0,159,223,2022-10-01,sztumski,pomorskie
39864,33400,0,10913,0,97,223,2022-10-01,szydłowiecki,mazowieckie
41147,69277,0,24953,0,243,604,2022-10-01,sępoleński,kujawsko-pomorskie
56409,80350,0,28116,0,158,210,2022-10-01,sławieński,zachodniopomorskie
47101,63944,0,22245,0,505,1148,2022-10-01,słubicki,lubuskie
59371,66720,0,23835,0,189,393,2022-10-01,słupecki,wielkopolskie
98816,76123,0,25470,0,613,2030,2022-10-01,słupski,pomorskie
53236,26729,0,8743,0,41,207,2022-10-01,tarnobrzeski,podkarpackie
139833,221611,0,79733,0,4580,10201,2022-10-01,tarnogórski,śląskie
201570,135993,2,50416,0,190,266,2022-10-01,tarnowski,małopolskie
68146,53521,0,19341,0,130,572,2022-10-01,tatrzański,małopolskie
115876,144254,0,46098,0,654,829,2022-10-01,tczewski,pomorskie
83715,84378,0,30058,0,44,145,2022-10-01,tomaszowski (lubelskie),lubelskie
117259,157550,0,57091,0,413,1287,2022-10-01,tomaszowski (łódzkie),łódzkie
106935,101317,0,35695,0,81,167,2022-10-01,toruński,kujawsko-pomorskie
84886,95401,0,33467,0,750,937,2022-10-01,trzebnicki,dolnośląskie
48374,60503,0,21145,0,136,314,2022-10-01,tucholski,kujawsko-pomorskie
84101,95652,0,33970,0,63,109,2022-10-01,turecki,wielkopolskie
160130,186574,0,62838,0,1042,2408,2022-10-01,wadowicki,małopolskie
117007,192997,1,64356,0,2734,6145,2022-10-01,warszawski zachodni,mazowieckie
56004,48560,0,17090,0,228,688,2022-10-01,wałbrzyski,dolnośląskie
53462,59548,3,21610,0,296,701,2022-10-01,wałecki,zachodniopomorskie
215908,263849,9,89118,0,870,3636,2022-10-01,wejherowski,pomorskie
127078,178978,0,59921,0,1110,3539,2022-10-01,wielicki,małopolskie
76699,125468,0,46633,0,488,1429,2022-10-01,wieluński,łódzkie
42213,50223,0,17285,0,10,66,2022-10-01,wieruszowski,łódzkie
157616,193506,0,66561,0,517,915,2022-10-01,wodzisławski,śląskie
57326,84670,0,29806,0,786,2421,2022-10-01,wolsztyński,wielkopolskie
245357,353314,0,117799,0,2094,6413,2022-10-01,wołomiński,mazowieckie
47056,65958,0,22204,0,107,286,2022-10-01,wołowski,dolnośląskie
146060,170982,0,58158,0,1516,3888,2022-10-01,wrocławski,dolnośląskie
77667,107881,0,37238,0,1469,1553,2022-10-01,wrzesiński,wielkopolskie
39065,43296,0,15379,0,2,136,2022-10-01,wschowski,lubuskie
57248,69283,0,26350,0,77,141,2022-10-01,wysokomazowiecki,podlaskie
74065,96608,0,35334,0,145,252,2022-10-01,wyszkowski,mazowieckie
34413,43509,0,15025,0,49,110,2022-10-01,wąbrzeski,kujawsko-pomorskie
70274,52205,0,18648,0,780,1200,2022-10-01,wągrowiecki,wielkopolskie
22873,31184,0,11339,0,23,23,2022-10-01,węgorzewski,warmińsko-mazurskie
66174,68987,0,25823,0,67,67,2022-10-01,węgrowski,mazowieckie
86352,95189,0,35605,0,582,1431,2022-10-01,włocławski,kujawsko-pomorskie
38668,51373,0,18416,0,66,166,2022-10-01,włodawski,lubelskie
45336,66102,0,24394,0,23,29,2022-10-01,włoszczowski,świętokrzyskie
43816,43670,0,15251,0,49,135,2022-10-01,zambrowski,podlaskie
106935,73482,0,27549,0,29,33,2022-10-01,zamojski,lubelskie
118434,164021,79,54898,1,3120,9650,2022-10-01,zawierciański,śląskie
66766,78880,0,26662,0,863,1817,2022-10-01,zduńskowolski,łódzkie
165916,210692,9,71257,0,2757,3647,2022-10-01,zgierski,łódzkie
90003,100913,0,31886,0,476,2307,2022-10-01,zgorzelecki,dolnośląskie
75750,128521,0,46451,0,411,1028,2022-10-01,zielonogórski,lubuskie
36328,39344,0,15511,0,2,2,2022-10-01,zwoleński,mazowieckie
65428,85214,0,29466,0,22,86,2022-10-01,ząbkowicki,dolnośląskie
43869,56165,0,18415,0,1614,2225,2022-10-01,złotoryjski,dolnośląskie
69606,71399,0,24300,0,254,376,2022-10-01,złotowski,wielkopolskie
63000,103782,4,38060,0,673,2186,2022-10-01,Łomża,podlaskie
685285,1396153,46,483660,0,13214,31617,2022-10-01,Łódź,łódzkie
50103,53191,0,19487,0,110,278,2022-10-01,łaski,łódzkie
80834,63209,0,23276,0,137,248,2022-10-01,łańcucki,podkarpackie
37104,78791,0,23821,0,132,180,2022-10-01,łobeski,zachodniopomorskie
